"","term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
"1",2020,117,"ACBarrett",1.011,0.456,0.981,0.202,1.979
"13",1991,106,"AMKennedy",0.86,0.207,0.858,0.464,1.274
"14",1992,106,"AMKennedy",1.031,0.215,1.029,0.622,1.468
"15",1993,106,"AMKennedy",0.875,0.218,0.871,0.455,1.308
"16",1994,106,"AMKennedy",0.851,0.213,0.845,0.45,1.282
"17",1995,106,"AMKennedy",0.747,0.211,0.745,0.341,1.168
"18",1996,106,"AMKennedy",0.835,0.213,0.833,0.426,1.267
"19",1997,106,"AMKennedy",0.829,0.225,0.825,0.403,1.295
"20",1998,106,"AMKennedy",0.958,0.227,0.953,0.528,1.416
"21",1999,106,"AMKennedy",1.093,0.228,1.092,0.653,1.541
"22",2000,106,"AMKennedy",0.972,0.225,0.967,0.543,1.423
"23",2001,106,"AMKennedy",1.06,0.233,1.053,0.617,1.537
"24",2002,106,"AMKennedy",0.905,0.238,0.901,0.445,1.383
"25",2003,106,"AMKennedy",0.771,0.223,0.766,0.353,1.216
"26",2004,106,"AMKennedy",0.543,0.22,0.541,0.117,0.978
"28",2006,106,"AMKennedy",0.461,0.204,0.458,0.064,0.873
"29",2007,106,"AMKennedy",0.412,0.223,0.409,-0.017,0.858
"30",2008,106,"AMKennedy",0.579,0.202,0.577,0.19,0.981
"31",2009,106,"AMKennedy",0.521,0.216,0.516,0.11,0.955
"32",2010,106,"AMKennedy",0.579,0.214,0.577,0.168,1.006
"33",2011,106,"AMKennedy",0.302,0.211,0.3,-0.102,0.724
"34",2012,106,"AMKennedy",0.245,0.207,0.243,-0.16,0.654
"35",2013,106,"AMKennedy",0.067,0.23,0.067,-0.379,0.516
"36",2014,106,"AMKennedy",-0.224,0.215,-0.222,-0.648,0.192
"37",2015,106,"AMKennedy",-0.27,0.234,-0.27,-0.725,0.188
"38",2016,106,"AMKennedy",-0.046,0.232,-0.044,-0.5,0.414
"39",2017,106,"AMKennedy",0.399,0.236,0.398,-0.055,0.88
"45",1991,105,"AScalia",2.513,0.312,2.506,1.931,3.149
"46",1992,105,"AScalia",2.551,0.346,2.542,1.902,3.259
"47",1993,105,"AScalia",2.65,0.366,2.643,1.956,3.397
"48",1994,105,"AScalia",2.899,0.385,2.892,2.177,3.695
"49",1995,105,"AScalia",3.187,0.398,3.179,2.434,3.983
"50",1996,105,"AScalia",3.407,0.405,3.399,2.649,4.213
"51",1997,105,"AScalia",3.481,0.416,3.475,2.697,4.329
"52",1998,105,"AScalia",3.463,0.435,3.451,2.63,4.347
"53",1999,105,"AScalia",3.54,0.427,3.528,2.73,4.418
"54",2000,105,"AScalia",3.54,0.418,3.529,2.756,4.378
"55",2001,105,"AScalia",3.384,0.422,3.374,2.585,4.262
"56",2002,105,"AScalia",3.084,0.424,3.078,2.272,3.942
"57",2003,105,"AScalia",2.914,0.417,2.903,2.113,3.763
"58",2004,105,"AScalia",2.713,0.406,2.704,1.947,3.528
"60",2006,105,"AScalia",2.593,0.373,2.585,1.891,3.35
"61",2007,105,"AScalia",2.437,0.361,2.424,1.757,3.176
"62",2008,105,"AScalia",2.323,0.353,2.31,1.662,3.046
"63",2009,105,"AScalia",2.295,0.347,2.281,1.644,3.008
"64",2010,105,"AScalia",2.127,0.344,2.117,1.472,2.807
"65",2011,105,"AScalia",2.05,0.326,2.042,1.445,2.72
"66",2012,105,"AScalia",1.727,0.327,1.716,1.111,2.4
"67",2013,105,"AScalia",1.593,0.342,1.578,0.965,2.312
"68",2014,105,"AScalia",1.519,0.356,1.5,0.879,2.261
"69",2015,105,"AScalia",1.595,0.449,1.586,0.745,2.509
"70",2018,116,"BMKavanaugh",0.604,0.266,0.599,0.09,1.127
"71",2019,116,"BMKavanaugh",0.56,0.248,0.552,0.093,1.062
"72",2020,116,"BMKavanaugh",0.548,0.288,0.539,-0.007,1.125
"104",1991,95,"BRWhite",0.639,0.191,0.636,0.271,1.025
"105",1992,95,"BRWhite",0.585,0.23,0.583,0.143,1.045
"116",1991,108,"CThomas",2.742,0.467,2.717,1.896,3.725
"117",1992,108,"CThomas",3.045,0.46,3.023,2.217,3.986
"118",1993,108,"CThomas",3.421,0.447,3.409,2.605,4.351
"119",1994,108,"CThomas",3.645,0.446,3.628,2.823,4.564
"120",1995,108,"CThomas",3.74,0.454,3.723,2.893,4.669
"121",1996,108,"CThomas",3.813,0.459,3.798,2.969,4.769
"122",1997,108,"CThomas",3.802,0.471,3.782,2.922,4.77
